id;place;rapport;date;M1;M2;M3;M4;allocation;Hippodrome;nbPartants;idHippodrome;nDistance;nAllocation;idFerrure;idJockey;nbPartants;rPoids;idOeillere;iCote
98950;1;1.1;05-01-2016;1a;2a;1a;1a;6000;Mons;15;Mons;2300;6000;0;9161;13;0;0;7
98951;1;1.3;05-01-2016;1a;3a;10a;0a;6000;Mons;16;Mons;2300;6000;0;279;15;0;0;10
98952;1;1.5;05-01-2016;2a;7a;7a;8a;6000;Mons;16;Mons;2300;6000;2;524;13;0;0;21
98953;1;1.2;05-01-2016;1a;1a;2a;3a;5400;Mons;15;Mons;2300;6000;1;1171;13;0;0;2
98954;0;0;05-01-2016;Da;2a;2a;7a;6000;Mons;12;Mons;2300;6000;0;27;13;0;0;6
56070;1;1.2;06-01-2016;13a;1a;3a;Dm;22000;Vincennes;14;Lyon-Parilly;2850;40000;2;821;18;0;0;14
98967;1;1.6;06-01-2016;2a;0a;2a;1a;70000;Vincennes;10;Vincennes;2100;54000;0;8;12;0;0;5
98968;0;0;06-01-2016;4a;Da;3a;1a;35000;Vincennes;15;Vincennes;2700;35000;0;34;15;0;0;3
56076;0;0;07-01-2016;1a;1a;1a;10a;36000;Vincennes;13;Cagnes-sur-Mer;2925;20000;1;3;14;0;0;1
56077;1;1.4;07-01-2016;3a;1a;1a;1a;38000;Vincennes;13;Vincennes;2700;38000;0;4;12;0;0;12
56078;1;1.2;07-01-2016;7a;8a;8a;Da;22000;Vincennes;12;Vincennes;2700;58000;0;4673;14;0;0;82
98982;1;1.5;07-01-2016;2a;Da;4a;2a;90000;Vincennes;16;Vincennes;2100;90000;0;6;17;0;0;35
98984;1;1.3;07-01-2016;6m;2a;1a;3a;48000;Vincennes;14;Vincennes;2700;45000;2;153;16;0;0;3
98985;0;0;07-01-2016;4a;5a;Da;7a;46000;Vincennes;15;Vincennes;2175;50000;1;1931;14;0;0;10
56093;0;0;08-01-2016;1a;6a;3a;Da;23000;Cagnes;13;Cagnes-sur-Mer;2150;20000;2;1931;13;0;0;12
56094;0;0;08-01-2016;1a;0a;6a;8a;16000;Cagnes;15;Cordemais;2850;12000;2;623;14;0;0;5
99019;0;0;08-01-2016;11a;Da;6m;2m;16000;Cagnes-sur-Mer;15;Graignes;2700;22000;0;361;16;0;0;11
99020;0;0;08-01-2016;1a;1a;14a;Da;24000;Cagnes-sur-Mer;9;Cagnes-sur-Mer;2150;23000;1;734;15;0;0;4
99021;1;1.5;08-01-2016;1a;0a;9a;1a;28000;Cagnes-sur-Mer;15;Cagnes-sur-Mer;2925;26000;2;239;15;0;0;3
99022;0;0;08-01-2016;6a;3a;1a;2a;24000;Cagnes-sur-Mer;16;Cordemais;2825;26000;0;623;18;0;0;12
99023;0;0;08-01-2016;3a;1a;14a;6a;8000;Cagnes-sur-Mer;16;Marseille-Vivaux;2650;20000;0;1412;16;0;0;6
99024;1;1.3;08-01-2016;1a;4a;1Da;6a;5000;Wolvega;14;Wolvega;2100;5500;1;793;16;0;0;4
99027;1;1.1;08-01-2016;3a;1a;1a;1a;6500;Wolvega;10;Wolvega;2600;12500;1;1171;6;0;0;3
56101;1;2.4;09-01-2016;2Da;3a;Da;11a;55000;Vincennes;18;Vincennes;2700;58000;0;156;17;0;0;10
56102;1;1.9;09-01-2016;2a;Da;1a;1a;39000;Vincennes;18;Vincennes;2850;36000;0;38;16;0;0;15
56104;1;3.4;09-01-2016;3a;6a;7a;2a;33000;Vincennes;14;Mauquenchy;2225;16000;0;142;12;0;0;11
99034;0;0;09-01-2016;Da;1a;Da;4a;38000;Vincennes;15;Vincennes;2850;37000;0;2;12;0;0;1
99036;0;0;09-01-2016;2a;3a;1a;2a;48000;Vincennes;18;Vincennes;2700;45000;1;140;12;0;0;4
99037;0;0;09-01-2016;1a;7a;Da;7a;66000;Vincennes;17;Vincennes;2700;55000;2;1598;15;0;0;9
56116;0;0;10-01-2016;1a;4a;1a;1a;120000;Vincennes;8;Vincennes;2700;240000;0;28;14;0;0;6
56117;1;1.1;10-01-2016;1a;3a;1a;7a;88000;Vincennes;10;Vincennes;2100;80000;2;6;17;0;0;2
56119;0;0;10-01-2016;3a;Da;Da;Da;18000;Cordemais;14;Cordemais;2825;13000;0;383;13;0;0;7
99049;1;1.4;10-01-2016;0a;2a;1a;1a;36000;Vincennes;15;Kuurne;1800;1800;0;8559;12;0;0;
99051;1;1.4;10-01-2016;4a;9a;1a;2a;66000;Vincennes;15;Vincennes;2700;120000;2;1226;10;0;0;13
99054;0;0;10-01-2016;Da;Da;2a;Da;36000;Vincennes;15;Vincennes;2700;36000;0;143;14;0;0;5
99055;1;1.8;10-01-2016;Da;5a;5a;2a;18000;Cordemais;16;Vincennes;2700;37000;0;2619;17;0;0;54
99056;0;0;10-01-2016;1a;Da;1a;1a;22000;Cordemais;16;Angers;2350;20000;0;906;15;0;0;5
99057;0;0;10-01-2016;Da;3a;Da;5a;18000;Cordemais;14;Maure-de-Bretagne;2850;20000;2;619;15;0;0;6
99058;1;1.6;10-01-2016;1a;2a;1a;Da;6000;Cordemais;16;La Capelle;2700;6000;0;8877;14;0;0;2
99059;0;0;10-01-2016;6a;3a;1a;2Da;18000;Cordemais;14;Meslay-du-Maine;2600;18000;0;177;16;0;0;7
56130;1;1.3;11-01-2016;1a;0a;0a;0a;65000;Vincennes;17;Vincennes;2700;64000;2;2;18;0;0;7
56137;0;0;11-01-2016;Da;Da;0a;6a;20000;Marseille;16;Toulouse;2950;17000;2;2380;16;0;0;3
99076;0;0;11-01-2016;2a;1a;1a;2a;70000;Vincennes;12;Vincennes;2100;54000;0;8;11;0;0;2
99078;0;0;11-01-2016;1Disqa;3a;Dm;5a;39000;Vincennes;14;Vincennes;2700;36000;2;6;17;0;0;5
99081;0;0;11-01-2016;3a;7a;11a;1a;5917.5;Geelong;11;Melton;2240;7575;0;8970;9;0;0;11
99090;0;0;11-01-2016;1a;6a;3a;Da;18000;Marseille-Vivaux;12;Toulouse;2950;15000;1;424;17;0;0;15
99091;1;1.5;11-01-2016;1a;2a;1a;Da;18000;Marseille-Vivaux;15;Marseille-Vivaux;2650;22000;0;736;16;0;0;4
99092;1;2;11-01-2016;1a;10a;9a;1a;28000;Marseille-Vivaux;16;Halmstad;1640;60000;2;4705;9;0;0;
99093;1;1.5;11-01-2016;1a;0a;9a;10a;18000;Marseille-Vivaux;12;Lyon-Parilly;2850;15000;0;163;16;0;0;10
99094;0;0;11-01-2016;2a;Da;Da;Da;17000;Marseille-Vivaux;12;Marseille-Vivaux;2650;20000;0;1197;14;0;0;12
99095;0;0;11-01-2016;10a;3a;2a;8a;18000;Marseille-Vivaux;13;Cagnes-sur-Mer;2925;20000;0;2215;14;0;0;12
56139;0;0;12-01-2016;1a;3a;1a;1Da;65000;Vincennes;18;Vincennes;2850;48000;2;3;14;0;0;3
56143;0;0;12-01-2016;1a;1a;2a;1a;6000;Mons;13;Mons;2300;6000;0;9161;13;0;0;1
56144;0;0;12-01-2016;4a;Da;Da;2a;6000;Mons;12;Mons;2300;6000;0;819;13;0;0;15
99104;1;2.1;12-01-2016;7a;Da;Da;2a;34000;Vincennes;13;Vincennes;2700;35000;0;34;11;0;0;7
99106;0;0;12-01-2016;4a;2a;5a;6a;42000;Vincennes;18;Vincennes;2850;46000;0;238;11;0;0;8
99108;0;0;12-01-2016;Da;9a;10a;5a;35000;Vincennes;15;Vincennes;2700;36000;0;1196;14;0;0;108
99109;1;1.5;12-01-2016;1a;1a;5a;12a;52000;Vincennes;15;Vincennes;2175;50000;0;30;14;0;0;4
99116;1;1.4;12-01-2016;1a;4a;1a;0a;6000;Mons;16;Mons;2850;6000;2;541;8;0;0;2
99118;0;0;12-01-2016;1a;1a;Da;1a;5400;Mons;14;Milan;1650;6600;0;1698;10;0;0;
99119;0;0;12-01-2016;3a;1a;2a;1a;6000;Mons;13;Mons;2300;6000;2;526;15;0;0;1
56150;1;1.8;13-01-2016;2a;1a;2a;2a;24000;Cagnes;15;Cordemais;2825;18000;0;4117;18;0;0;4
56151;0;0;13-01-2016;3a;1a;5a;6a;30000;Cagnes;14;Cagnes-sur-Mer;2925;38000;0;1311;17;0;0;39
56152;0;0;13-01-2016;2a;1a;6a;Da;26000;Cagnes;16;Cagnes-sur-Mer;2150;6000;2;179;16;0;0;16
56160;1;3.5;13-01-2016;1a;1a;2a;Da;5000;Gelsenkirchen;9;Gelsenkirchen;3225;5000;0;640;8;0;0;1
99124;0;0;13-01-2016;Da;Da;1a;Da;23000;Cagnes-sur-Mer;15;Cagnes-sur-Mer;2150;20000;0;1576;13;0;0;6
99125;0;0;13-01-2016;1a;1a;1a;11a;46000;Cagnes-sur-Mer;18;Marseille-Vivaux;2650;20000;2;720;16;0;0;2
99126;1;9.6;13-01-2016;10a;1a;5a;7a;23000;Cagnes-sur-Mer;18;Mauquenchy;2225;20000;0;903;12;0;0;26
99127;1;1.3;13-01-2016;1a;1a;2a;9a;32000;Cagnes-sur-Mer;15;Cagnes-sur-Mer;2925;32000;0;163;15;0;0;2
99128;1;3;13-01-2016;5a;Da;4a;1a;23000;Cagnes-sur-Mer;13;Marseille-Borély;2400;13000;0;719;15;0;0;8
99129;1;1.9;13-01-2016;5a;5a;10a;4m;23000;Cagnes-sur-Mer;13;Cagnes-sur-Mer;2925;21000;0;728;14;0;0;46
99139;1;1.1;13-01-2016;2a;1a;2a;6a;6000;Son Pardo  Majorque;11;Son Pardo - Majorque;2150;6000;0;587;12;0;0;7
56162;1;1.5;14-01-2016;1a;1a;5a;2a;150000;Cagnes;18;Vincennes;2850;115000;2;147;11;0;0;5
56163;1;1.6;14-01-2016;2a;2a;Da;Da;36000;Cagnes;11;Vincennes;2700;36000;0;34;10;0;0;4
56164;0;0;14-01-2016;1a;Da;Da;Da;32000;Cagnes;15;Cagnes-sur-Mer;2925;36000;0;3;17;0;0;3
56165;0;0;14-01-2016;1a;2a;4a;2a;8000;Cagnes;16;Cagnes-sur-Mer;2150;20000;2;5862;16;0;0;3
56166;1;1.3;14-01-2016;3a;1a;5a;1a;35000;Nantes;16;Vincennes;2700;58000;2;554;17;0;0;11
99149;1;1.3;14-01-2016;1a;1a;1a;3a;23000;Cagnes-sur-Mer;16;Cagnes-sur-Mer;2150;20000;0;1931;15;0;0;1
